Gender,Age,Enjoyment_Level,Books_bought,Genre,Theme,Motivation,Choices,Focus,Time,Frequency,Place,Medium,Place_of_Purchase,Recommendation_Source,Favourite_Book
Female,Below 18,5,6,"Fiction, Mystery, Adventure, Fantasy","Rebellion, Vengeance, Survival, Other","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Character focused,"Afternoon, Evening","Weekly, thrice","In a library, At home, Other",Print book,"Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own","Wonder, Tuesdays with Morrie"
Female,Below 18,4,20,"Fiction, Mystery, Biography, Romance, Comics, Self Help","Rebellion, Love (romance), Survival, Suffering, Power and corruption, Moral ambiguity","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Plot focused,"Morning, Night","Daily, 30-60minutes","In a library, While commuting","Print book, E-book, Applications, Websites","Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own, Other","Silent patient ,weak hero(webcomic),Becoming ,The boxer(weak hero) and Atomic habits"
Male,18-21,5,4,"Fiction, Mystery, Biography, Romance, Sci-Fi","Rebellion, Love (romance), Power and corruption, Moral ambiguity","Personality Development, Relaxation","Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,Night,"Daily, 30-60minutes",At home,Print book,"Online, places like Amazon","Online/Social Media, Friends","Rich Dad, Poor Dad"
Female,18-21,3,7,"Fiction, Mystery, Comics",Love (romance),"Recommendations from a friend, Personality Development","Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,"Morning, Evening","Weekly, once",In a library,"Print book, Magazines",Book Stores,"Friends, Ads on TV/Computer",Ikigai
Female,18-21,4,5,"Mystery, Biography, Romance","Love (romance), Survival, Moral ambiguity, Other","Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,"Morning, Night","Daily, > 60 minutes",At home,"E-book, Newspaper, Websites","Online, places like Amazon, Other","Online/Social Media, I like to browse books on my own",None
Female,Below 18,3,9,"Mystery, Fantasy, Romance","Vengeance, Coming of age",Enjoyment,Well-written descriptive detail,Character focused,Afternoon,"Daily, <30 minutes",At home,Print book,"Book Stores, Book Orders/Book Fairs from school",I like to browse books on my own,the girl in room 105- chetan bhagat
Female,18-21,4,3,"Fiction, Mystery, Adventure, Sci-Fi","Vengeance, Survival, Coming of age","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Plot focused,"Morning, Night","Weekly, once",In a library,"E-book, Websites","Online, places like Amazon, Book Stores","Friends, Ads on TV/Computer, I like to browse books on my own","Dan Brown books, most of them. Agatha Christie as well. The best is \And then there were none\"""""
Female,18-21,5,0,"Fiction, Adventure, Romance, Comics, Sci-Fi","Vengeance, Love (romance), Survival, Coming of age, Suffering","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Character focused,"Evening, Night","Daily, <30 minutes","In a library, At home","Print book, E-book","Online, places like Amazon","Online/Social Media, Friends, I like to browse books on my own",Between the shades of grey
Female,21-24,5,10,"Mystery, Adventure","Vengeance, Love (romance), Survival, Suffering, Power and corruption","Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Morning, Evening","Daily, > 60 minutes","While commuting, At home","Print book, E-book","Online, places like Amazon, Book Stores","Online/Social Media, Friends",Sapiens
Male,18-21,2,2,"Biography, Sci-Fi","Survival, Power and corruption",Recommendations from a friend,Other,Character focused,Evening,I don't prefer reading,In a group,Print book,"Online, places like Amazon, Book Stores",Friends,None
Male,18-21,2,2,"Mystery, Comics",Vengeance,School/College Assignments,"Witty or believable dialogue, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Afternoon, Evening",I don't prefer reading,At home,Print book,"Online, places like Amazon, Book Stores",I like to browse books on my own,None
Female,18-21,4,0,"Fiction, Mystery, Adventure, Fantasy, Romance, Comics","Rebellion, Vengeance, Love (romance), Survival","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,Night,"Daily, 30-60minutes",At home,"Print book, E-book, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",Murder on orient express - Agatha christie
Male,18-21,4,2,Mystery,"Rebellion, Vengeance, Love (romance), Survival","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, Complicated or multi-step plot",Plot focused,Night,"Weekly, thrice",At home,Print book,"Online, places like Amazon","Online/Social Media, Friends",The Kite Runner
Male,18-21,3,5,"Fiction, Fantasy, Comics, Sci-Fi, Self Help","Survival, Power and corruption, Moral ambiguity","Recommendations from a friend, Relaxation","Well-written descriptive detail, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,Evening,"Weekly, once",At home,"Print book, Websites","Online, places like Amazon, Book Stores","Friends, I like to browse books on my own",Percy Jackson
Female,18-21,3,2,"Fiction, Adventure, Fantasy, Comics","Vengeance, Love (romance), Coming of age, Power and corruption, Moral ambiguity","Recommendations from a friend, Enjoyment","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,"Evening, Night","Weekly, thrice",At home,"Print book, E-book, Websites","Online, places like Amazon","Online/Social Media, Friends",Clockwork Angel
Male,18-21,2,1,"Fiction, Mystery, Adventure","Survival, Other",Recommendations from a friend,"Well-written descriptive detail, Witty or believable dialogue, Exciting action scenes",Plot focused,Night,I don't prefer reading,At home,"Print book, Magazines, Newspaper","Online, places like Amazon, Book Stores",Friends,Sherlock Holmes
Female,18-21,4,0,"Romance, Comics, Sci-Fi",Love (romance),"Personality Development, Relaxation","Well-written descriptive detail, In-depth lore that you can escape into outside the confines of a book",Plot focused,Evening,"Daily, 30-60minutes",At home,Print book,"Online, places like Amazon",Friends,Half girlfriend
Female,18-21,4,0,"Fiction, Mystery, Adventure, Fantasy, Romance, Comics, Sci-Fi, Self Help","Love (romance), Survival","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,"Evening, Night","Daily, 30-60minutes","In a library, At home","Print book, E-book, Applications, Websites",Other,"Online/Social Media, Friends, I like to browse books on my own",It's ok to fail my son
Female,18-21,4,2,"Fiction, Adventure, Comics","Survival, Coming of age, Other","Recommendations from a friend, Personality Development, Enjoyment","Well-written descriptive detail, Interesting character arcs, Complicated or multi-step plot",Plot focused,Night,"Weekly, once",At home,"Print book, E-book, Websites","Online, places like Amazon","Online/Social Media, Friends",Wings of Fire
Male,Above 25,4,3,"Fiction, Mystery, Fantasy, Romance, Sci-Fi","Love (romance), Survival, Power and corruption","Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Complicated or multi-step plot",Character focused,"Evening, Night","Daily, 30-60minutes",At home,"Print book, Magazines","Online, places like Amazon, Book Stores","Online/Social Media, Friends",Harry Potter
Male,18-21,5,5,"Fiction, Mystery, Self Help","Survival, Coming of age","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Afternoon, Evening, Night","Daily, 30-60minutes",At home,Print book,"Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends",Zero to One
Male,18-21,3,0,"Fiction, Mystery, Adventure, Fantasy, Romance","Love (romance), Survival, Coming of age, Suffering",School/College Assignments,"Interesting character arcs, Exciting action scenes",Character focused,"Morning, Night",I don't prefer reading,Other,Print book,"Online, places like Amazon","Online/Social Media, Friends, Ads on TV/Computer",The Math text book in my 10th grade
Female,18-21,4,10,"Fiction, Adventure, Self Help",Other,"Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Character focused,Night,"Daily, 30-60minutes","While commuting, At home",E-book,"Online, places like Amazon, Book Stores",I like to browse books on my own,-
Female,Below 18,4,2,"Mystery, Adventure, Comics","Survival, Power and corruption","Personality Development, Relaxation","Well-written descriptive detail, Interesting character arcs",Character focused,Night,I don't prefer reading,"At home, Other","Magazines, Websites","Online, places like Amazon","Online/Social Media, Friends",The 7 Habits of Highly Effective People
Female,Below 18,1,2,Self Help,"Rebellion, Survival, Power and corruption","Personality Development, Relaxation",Witty or believable dialogue,Plot focused,Night,I don't prefer reading,At home,Print book,"Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school",Online/Social Media,101 essays that will change the way you think
Male,18-21,4,17,"Fiction, Mystery, Adventure, Comics, Sci-Fi","Rebellion, Vengeance, Survival, Power and corruption","Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Character focused,Night,"Weekly, once",At home,"E-book, Applications, Websites","Online, places like Amazon","Ads on TV/Computer, I like to browse books on my own",The time machine
Male,Above 25,3,5,Self Help,Other,"Recommendations from a friend, Personality Development, Relaxation",Other,Plot focused,Night,"Weekly, thrice",At home,"Print book, Newspaper, Websites","Online, places like Amazon, Book Stores","Friends, I like to browse books on my own",Mindset - The New Psychology Of Success
Female,18-21,5,2,"Mystery, Biography, Sci-Fi","Rebellion, Love (romance), Suffering, Power and corruption, Moral ambiguity","School/College Assignments, Recommendations from a friend, Personality Development, Enjoyment","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Plot focused,"Evening, Night","Daily, 30-60minutes",In a library,"E-book, Magazines, Newspaper, Applications","Online, places like Amazon, Book Stores","Online/Social Media, Ads on TV/Computer, I like to browse books on my own",Blue ocean strategy
